,neighborhood,neighborhood_id,city_id
290,حي العزيزية,278,13
291,حي هذلولة,898,43
292,حي العسيلة,36,2
293,حي الجزيرة,408,21
294,حي قلعة مخيط,3076,41
295,حي الخزامى,2026,67
296,حي ذلالة,4068,70
297,حي السلي,466,21
298,حي الخزامى,258,13
299,حي بريمان,3632,66
300,حي الضباط,492,21
301,حي المهدج,56,2
302,حي الخالدية,3320,26
303,حي العزيزية,3538,66
304,حي الراشدية,1548,46
305,حي الزهور,1230,18
306,حي الزهور,3846,4
307,حي السلمانية الجنوبية,1562,46
308,حي الرفيعة,444,21
309,حي مشرفة,3648,66
310,حي جلمودة,1016,8
311,حي الوفاء,2612,91
312,حي المبعوث,3014,41
313,حي السد,2970,41
314,حي النهضة,1304,18
315,حي المروج,842,35
316,حي الفيصلية,1510,45
317,حي السد,4022,70
318,حي الزيتون,3848,4
319,حي البديعة,398,21
320,حي النزهة,1300,18
321,حي الخبيبية,2292,52
322,حي الفهد,2118,7
323,حي العريض,2992,41
324,حي الواحة,620,21
325,حي الصفا,158,65
326,حي خاخ,3056,41
327,حي الصليب الشرقي,3656,73
328,حي الجماوات,2940,41
329,حي الربوة,1686,54
330,حي النورس,1308,18
331,حي الريان,358,19
332,حي الملك عبدالله,574,21
333,حي المنصورة,584,21
334,حي مخطط الراجحي,1668,46
335,حي الجصة,2938,41
336,حي الفرنيسية الشرقية,3664,73
337,حي ضمد,84,2
338,حي الرمانة,2964,41
339,حي الصبوح,3658,73
340,حي الوسيطى,2378,52
341,حي المدينة الرياضية,1106,12
342,حي مخطط الصهبان,4404,96
343,حي الرحبة,944,82
344,حي الربيع,1504,45
345,حي عتود,4082,70
346,حي البرج,252,13
347,حي الجامعيين,1530,46
348,حي القطبية,3340,26
349,حي البلقاء,2932,41
350,حي المصفاة,554,21
351,حي الروابي,2302,52
352,حي العسيلة,3746,94
353,حي الاندلس,3684,94
354,حي منطقة محطة القطار,3680,93
355,حي الغراء,3004,41
356,حي الحمراء,3470,66
357,حي الدوحة الجنوبية,1342,27
358,حي النور,168,65
359,حي الرابية,1546,46
360,حي المربع,542,21
361,حي الشرق,1242,18
362,حي مشعل,2410,52
363,حي الخور,1078,12
364,حي ضراس,2404,52
365,حي الصالحية,1976,88
366,حي الحمر,2286,52
367,حي سلطانة,672,21
368,حي القضيمة,3414,64
369,حي الشفاء,4028,70
370,حي الوسيطاء,2058,67
371,حي ابو كبير,2924,41
372,حي الغزالة,2012,31
373,حي الثقبة,1060,12
374,حي شهبة,4434,5
375,حي العزيزية,3744,94
376,حي الهدراء,3030,41
377,حي الحائر,412,21
378,حي عين الخيف,3072,41
379,حي الكعكية,3756,94
380,حي ام الحمام الغربي,640,21
381,حي طيبة,3068,41
382,حي قرطبة,2102,6
383,حي العزيزية,1590,46
384,حي رغدان,4432,5
385,حي الروابي,2966,41
386,حي الصدر,922,69
387,حي الملك خالد,2580,91
388,حي الانوار,1192,18
389,حي الاصالة,3430,66
390,حي الصناعية,838,35
391,حي الفاخرية,2550,91
392,حي جنوب منسوبي التعليم,1654,46
393,حي اشبيلية,1680,54
394,حي الروضة,148,65
395,حي المناخ,580,21
396,حي الجشة,1536,46
397,حي القشلة,1346,27
398,حي البديعة,250,13
399,حي الحيلة الشرقي,4094,92
400,حي بني بياضة,3036,41
401,حي البشر,2268,52
402,حي المصيف,2876,59
403,حي الصليب الغربي,3654,73
404,حي الروضة,2844,59
405,حي الخالدية,3472,66
406,حي الورش الجنوبية,2376,52
407,حي منطقة صناعية,298,13
408,حي السنابل,3512,66
409,حي المدينة الصناعية الثانية,1280,18
410,حي وسط ثول,3420,64
411,حي منطقة الزراعية,2902,59
412,حي العليا,1098,12
413,حي المصيف,2044,67
414,حي الفاروق,520,21
415,حي الخالدية,2494,91
416,حي المثلث,1608,46
417,حي البصر,2270,52
418,حي النهضة,1896,85
419,حي عين الذيب,2406,52
420,حي التعاون,1058,12
421,حي الشرفية,474,21
422,حي عودة,3370,26
423,حي الجامعة,1334,27
424,حي العقربية,1094,12
425,حي التلال,1872,85
426,حي الخالدية,418,21
427,حي الرفيعة,262,13
428,حي الكورنيش,1102,12
429,حي البركة,254,13
430,حي الشفق,2312,52
431,حي المطار,162,65
432,حي البندرية,1524,46
433,حي حثم,3054,41
434,حي الساحل,3498,66
435,حي الشرفية,3518,66
436,حي النزهة,3770,94
437,حي الوشحاء,3352,26
438,حي الضرس,4108,92
439,حي العونية,2546,91
440,حي السلام,2526,91
441,حي العريجاء,496,21
442,حي البغدادية الغربية,3450,66
443,حي الحزام الذهبي,1068,12
444,حي مهزور,3084,41
445,حي الشفاء,1770,68
446,حي الخنساء,3710,94
447,حي البريكة,2266,52
448,حي الروابي,1084,12
449,حي الفايزية,2338,52
450,حي المصيف,1894,85
451,حي السلامة,3724,94
452,حي الهجرة,3776,94
453,حي قصر الخليج,1324,18
454,حي المزروعية,1284,18
455,حي اليمامة,636,21
456,حي الروضة,4100,92
457,حي النقع الشرقية,2370,52
458,حي الخبر الجنوبية,1072,12
459,حي السداد,3324,26
460,حي المصانع,552,21
461,حي الروضة,1226,18
462,حي المروج,888,43
463,حي الاجاويد,3428,66
464,حي القويع,2344,52
465,حي الاخضر,2260,52
466,حي المطيرفي,1620,46
467,حي الزهور,150,65
468,حي الدويخلة,2956,41
469,حي ام الساهك,1898,85
470,حي مدينة العمال,1120,12
471,حي الخبر الشمالية,1074,12
472,حي الفيصلية,528,21
473,حي صلاح الدين,676,21
474,حي النخيل,2094,6
475,حي الاندلس,1046,12
476,حي الضريب,840,35
477,حي الفاخرية,518,21
478,حي قصر بن عقيل,2168,20
479,حي اليمامة,2618,91
480,حي المطار,866,40
481,حي اشبيليا,1040,12
482,حي الزهرة,2968,41
483,حي الملك عبدالله,3966,57
484,حي الاسكان,2262,52
485,حي الريان,1766,68
486,حي الصفراء,2322,52
487,حي الناصرية,2364,52
488,حي مدينة الملك عبدالعزيز الطبية,3644,66
489,حي مطار الملك عبدالعزيز الدولي,3650,66
490,حي اليرموك,1804,68
491,حي الفردوس,3546,66
492,حي النسيم,2596,91
493,حي الوقف,958,82
494,حي الرصيفة,3714,94
495,حي اجياد,3682,94
496,حي الضاحي,2326,52
497,حي المشاعل,550,21
498,حي الواحة,2606,91
499,حي شظاة,3064,41
500,حي الوادي,1800,68
501,حي حطين,764,22
502,حي الامير سلمان,848,40
503,حي النقس,3028,41
504,حي الجابرة,2934,41
505,حي الزهراء,456,21
506,حي اسكان قوى الامن العام,2840,59
507,حي الخليج,1502,45
508,حي البرية,400,21
509,حي الازهار,3380,34
510,حي العويمرية,1594,46
511,حي عبدالله فؤاد,1320,18
512,حي الشروق,3520,66
513,حي الروضة,3878,39
514,حي القافلة,4040,70
515,حي الخالدية الشمالية,1212,18
516,حي الخالدية,346,19
517,حي الرائد,1758,68
518,حي البديعة,2466,91
519,حي صامطة,182,83
520,حي العزيزية,1258,18
521,حي القريات,3284,9
522,حي الاندلس,850,40
523,حي السلام,1232,18
524,حي الفيحاء,1778,68
525,حي مليحة,2640,91
526,حي الرونه,3844,4
527,حي الصفا,2536,91
528,حي الصالحية,3852,4
529,حي المنتزة,754,22
530,حي ام الحمام الشرقي,638,21
531,حي غرب النابية,1860,80
532,حي الشفاء,2532,91
533,حي العدل,3742,94
534,حي قنبورة,88,2
535,حي قرطبة,1704,54
536,حي البركة,2930,41
537,حي غبيرة,702,21
538,حي الوهلان,2614,91
539,حي الخالدية,2950,41
540,حي البندرية,1054,12
541,حي التنعيم,3692,94
542,حي الحزام الاخضر,1066,12
543,حي رامات,2100,6
544,حي المطار القديم,2350,52
545,حي البساتين,1684,54
546,حي المحمدية,1782,68
547,حي البلد,2918,86
548,حي خب روضان,2396,52
549,حي الصناعية,2186,24
550,حي الربوة,2296,52
551,حي شمال الدرعية,320,16
552,حي النسيم,4056,70
553,حي الاندلس,3440,66
554,حي الجامعيين,854,40
555,حي بدر,380,19
556,حي العزيزية,2038,67
557,حي اجا,2018,67
558,حي مخطط الرابية,2898,59
559,حي مخطط علي الخرس واحمد الشهاب,1670,46
560,حي الزاهر,2518,91
561,حي الجرادية,406,21
562,حي النهضة,292,13
563,حي المنتزه,2356,52
564,حي الحمراء,2492,91
565,حي الجامعة,3696,94
566,حي السلامة,3850,4
567,حي الرفيعة,2300,52
568,حي النسيم,3772,94
569,حي الهدى,3610,66
570,حي اليمامة,294,13
571,حي المنتزه الشرقي,2048,67
572,حي كتانة,3078,41
573,حي الغابة,3002,41
574,حي الزهراء,1430,33
575,حي الورود,64,2
576,حي المؤتمرات,592,21
577,حي المروج ب,2874,59
578,حي السروات,3504,66
579,حي البحيرة,2020,67
580,حي الحمراء,1210,18
581,حي الشميسي,480,21
582,حي النهضة,3860,4
583,حي الروضة,858,40
584,حي مدائن الفهد,3642,66
585,حي الليث,3398,37
586,حي الفيصلية,220,84
587,حي واسط,2412,52
588,حي مسره,3374,26
589,حي الريان,734,22
590,حي النسيم,3888,39
591,حي السليمانية,2528,91
592,حي السلام,268,13
593,حي المريديسية,2348,52
594,حي الخالدية,3788,1
595,حي اليرموك,1114,12
596,حي مخطط كريم الدرزي,2802,79
597,حي الربوة,3792,1
598,حي الوزارات,626,21
599,حي الخزامى,2496,91
600,حي المنتزة,282,13
601,حي الفاروق,998,8
602,حي الاندلس,248,13
603,حي المدينة العسكرية,3856,4
604,حي الحجاز,990,8
605,حي الفردوس,1000,8
606,حي الاسكان,2926,41
607,حي الخزان,3934,57
608,حي النخيل,1792,68
609,حي مدينة العمال,1326,18
610,حي النازية,2362,52
611,حي العالية,276,13
612,حي الرصراص,4016,70
613,حي الجلوية,1206,18
614,حي الجبيل البلد,988,8
615,حي حطين,382,19
616,حي الزهور,1146,15
617,حي اللسيب,2346,52
618,حي هيت,720,21
619,حي المروج,804,30
620,حي بئر عثمان,3046,41
621,حي النسيم,1636,46
622,حي الخالدية,3706,94
623,حي الملك عبدالعزيز,786,23
624,حي الناصفة,288,13
625,حي قرطبة,1810,68
626,حي الريان,264,13
627,حي رح الحجاجة,74,2
628,حي الربوة,1760,68
629,حي القصور,2560,91
630,حي الرويس,3488,66
631,حي الملك عبدالعزيز,572,21
632,حي قرطبة,1118,12
633,حي خب العكرش,2388,52
634,حي الرقيقة,1554,46
635,حي المظلل,2352,52
636,حي الصناعية,2152,20
637,حي تربه,2016,61
638,حي مصده,386,19
639,حي البيضاء,2108,7
640,حي الريان,2516,91
641,حي الوشام,630,21
642,حي المروج,1784,68
643,حي ابن سينا,1038,12
644,حي القصواء,3010,41
645,حي الحزم,2136,20
646,حي الخزامى,420,21
647,حي الامراء,1518,46
648,حي الربوه,1970,88
649,حي المنتزه الغربي,2050,67
650,حي الهضبة,1310,18
651,حي الهرير,4060,70
652,حي المعابدة,3764,94
653,حي الاسكان,1042,12
654,حي الظاهرة,2988,41
655,حي المروة,2570,91
656,حي الحجاج,966,89
657,حي جبل عير,3052,41
658,حي الدوحة الشمالية,1344,27
659,حي المنطقة الصناعية الاولى,3674,93
660,حي الملك فهد,374,19
661,حي الخيف,3270,9
662,حي الربيع,3876,39
663,حي الحوطة,2138,20
664,حي السفن,1088,12
665,حي مهد الذهب,3118,95
666,حي الاندلس,3868,39
667,حي الصناعية,1248,18
668,حي ام الشعال,642,21
669,حي الروضة,2142,20
670,حي الامير فواز الجنوبي,3434,66
671,حي غرناطة,1322,18
672,حي الفيصلية,3886,39
673,حي الصناعية,800,30
674,حي المنطقة الصناعية,120,3
675,حي الاندلس,2068,6
676,حي العزيزية,2088,6
677,حي المزروع,1616,46
678,حي السليمانية,3510,66
679,حي غرناطة,1806,68
680,حي المحمدية,1278,18
681,حي الروابي,3716,94
682,حي الجال,3318,26
683,حي الرحاب,196,84
684,حي قروى,3372,26
685,حي الجوهرة,3466,66
686,حي ام العراد,3360,26
687,حي تهامة,1350,27
688,حي السحيمية,2524,91
689,حي المروج,864,40
690,حي الجامعة,1750,68
691,حي ارامكو السعودية,1332,27
692,حي المنصورية,586,21
693,حي مخطط الراجحي,2900,59
694,حي الخليج,3842,4
695,حي الاثير,1186,18
696,حي اللواء الرابع عشر,4042,70
697,حي الاحتفالات,2128,20
698,حي الحزم,2422,78
699,حي محاسن البلدية,1664,46
700,حي المنطقة الصناعية,952,82
701,حي الذهبي,2502,91
702,حي النهضة,1796,68
703,حي الخضرية,1214,18
704,حي السالمية,2310,52
705,حي رهط,3060,41
706,حي الصقور,4030,70
707,حي عليشة,700,21
708,حي الاحساء,984,8
709,حي ابها الجديدة,3784,1
710,حي البساتين,3892,55
711,حي منفوحة الجديدة,716,21
712,حي الناصرية,340,17
713,حي المصيف,930,69
714,حي الاصيفرين,2928,41
715,حي المطار,1986,88
716,حي الجامعة,2936,41
717,حي البلدية,1746,68
718,حي القمرية,3342,26
719,حي الهلالية,2124,7
720,حي محاسن ارامكو,1662,46
721,حي عتيقة,692,21
722,حي الامير سلطان,3924,57
723,حي منفوحة,714,21
724,حي القادسية,1598,46
725,حي رواق,2400,52
726,حي الورود,3862,4
727,حي الزهراء,4102,92
728,حي الزهراء,2032,67
729,حي الفيصلية,1780,68
730,حي مكة,1030,8
731,حي بني ظفر,3040,41
732,حي الرضا,1420,33
733,حي الاتصالات,1184,18
734,حي المنتزه الجنوبي,2358,52
735,حي الوهط,3358,26
736,حي جامعة الأميرة نورة,656,21
737,حي المدينة الجديدة,242,10
738,حي البيلسان,3670,93
739,حي النسيم,954,82
740,حي الخليج,2498,91
741,حي النسيم,3824,1
742,حي الزهور,20,2
743,حي المشاعر,3762,94
744,حي القادسية,2240,42
745,حي الكوثر,1848,80
746,حي الخشابية,14,2
747,حي النزهة,58,2
748,حي الرحمانية,2504,91
749,حي المطار,2046,67
750,حي التشاليح,1500,45
